DISTRICT,DISTNAME,REGION,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETSPEP,C-JJAEP EXPULSIONS=HISPANIC/LATINO,C-JJAEP EXPULSIONS=WHITE,D-EXPULSION ACTIONS=HISPANIC/LATINO,D-EXPULSION ACTIONS=WHITE,E-DAEP PLACEMENTS=HISPANIC/LATINO,E-DAEP PLACEMENTS=WHITE,F-OUT OF SCHOOL SUSPENSIONS=BLACK OR AFRICAN AMERICAN,F-OUT OF SCHOOL SUSPENSIONS=HISPANIC/LATINO,F-OUT OF SCHOOL SUSPENSIONS=WHITE,G-IN SCHOOL SUSPENSIONS=AMERICAN INDIAN OR ALASKA NAT,G-IN SCHOOL SUSPENSIONS=BLACK OR AFRICAN AMERICAN,G-IN SCHOOL SUSPENSIONS=HISPANIC/LATINO,G-IN SCHOOL SUSPENSIONS=NATIVE HAWAIIAN/OTHER PACIFIC,G-IN SCHOOL SUSPENSIONS=WHITE,H-SPEC. ED. JJAEP EXPULSIONS=SPEC. ED. EXPULSIONS TO JJAEP,I-SPEC. ED. EXPULSIONS=SPEC. ED. EXPULSIONS,J-SPEC. ED. DAEP PLACEMENTS=SPEC. ED. DAEP PLACEMENTS,K-SPEC. ED. OUT OF SCHOOL SUS.=SPEC. ED. OUT OF SCHOOL SUSPEN,L-SPEC. ED. IN SCHOOL SUS.=SPEC. ED. IN SCHOOL SUSPEN,M-ECO. DISADV. JJAEP PLACEMENTS=ECO. DISAD. EXPULSION TO JJAEP,N-ECO. DISADV. EXPULSIONS=ECO. DISAD. EXPULSIONS,O-ECO. DISADV. DAEP PLACEMENTS=ECO. DISAD. DAEP PLACEMENTS,P-ECO. DISADV. OUT OF SCHOOL SUS.=ECO. DISAD. OUT OF SCHOOL SUSPEN,E-DAEP PLACEMENTS=BLACK OR AFRICAN AMERICAN,E-DAEP PLACEMENTS=TWO OR MORE RACES,F-OUT OF SCHOOL SUSPENSIONS=AMERICAN INDIAN OR ALASKA NAT,F-OUT OF SCHOOL SUSPENSIONS=ASIAN,F-OUT OF SCHOOL SUSPENSIONS=TWO OR MORE RACES,G-IN SCHOOL SUSPENSIONS=ASIAN,G-IN SCHOOL SUSPENSIONS=TWO OR MORE RACES,E-DAEP PLACEMENTS=AMERICAN INDIAN OR ALASKA NAT,E-DAEP PLACEMENTS=ASIAN,F-OUT OF SCHOOL SUSPENSIONS=NATIVE HAWAIIAN/OTHER PACIFIC,C-JJAEP EXPULSIONS=BLACK OR AFRICAN AMERICAN,D-EXPULSION ACTIONS=BLACK OR AFRICAN AMERICAN,E-DAEP PLACEMENTS=NATIVE HAWAIIAN/OTHER PACIFIC,D-EXPULSION ACTIONS=TWO OR MORE RACES,C-JJAEP EXPULSIONS=ASIAN,D-EXPULSION ACTIONS=ASIAN,C-JJAEP EXPULSIONS=TWO OR MORE RACES,C-JJAEP EXPULSIONS=AMERICAN INDIAN OR ALASKA NAT,D-EXPULSION ACTIONS=AMERICAN INDIAN OR ALASKA NAT,D-EXPULSION ACTIONS=NATIVE HAWAIIAN/OTHER PACIFIC,C-JJAEP EXPULSIONS=NATIVE HAWAIIAN/OTHER PACIFIC,total EXPULSION ACTIONS,total IN SCHOOL SUSPENSIONS,total OUT OF SCHOOL SUSPENSIONS,total DAEP PLACEMENTS,ratio BLACK OR AFRICAN AMERICAN IN SCHOOL SUSPENSIONS vs average,ratio HISPANIC/LATINO IN SCHOOL SUSPENSIONS vs average,ratio WHITE IN SCHOOL SUSPENSIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT IN SCHOOL SUSPENSIONS vs average,ratio ASIAN IN SCHOOL SUSPENSIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC IN SCHOOL SUSPENSIONS vs average,ratio TWO OR MORE RACES IN SCHOOL SUSPENSIONS vs average,ratio BLACK OR AFRICAN AMERICAN OUT OF SCHOOL SUSPENSIONS vs average,ratio HISPANIC/LATINO OUT OF SCHOOL SUSPENSIONS vs average,ratio WHITE OUT OF SCHOOL SUSPENSIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT OUT OF SCHOOL SUSPENSIONS vs average,ratio ASIAN OUT OF SCHOOL SUSPENSIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC OUT OF SCHOOL SUSPENSIONS vs average,ratio TWO OR MORE RACES OUT OF SCHOOL SUSPENSIONS vs average,ratio BLACK OR AFRICAN AMERICAN DAEP PLACEMENTS vs average,ratio HISPANIC/LATINO DAEP PLACEMENTS vs average,ratio WHITE DAEP PLACEMENTS vs average,ratio AMERICAN INDIAN OR ALASKA NAT DAEP PLACEMENTS vs average,ratio ASIAN DAEP PLACEMENTS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC DAEP PLACEMENTS vs average,ratio TWO OR MORE RACES DAEP PLACEMENTS vs average,ratio BLACK OR AFRICAN AMERICAN EXPULSION ACTIONS vs average,ratio HISPANIC/LATINO EXPULSION ACTIONS vs average,ratio WHITE EXPULSION ACTIONS vs average,ratio AMERICAN INDIAN OR ALASKA NAT EXPULSION ACTIONS vs average,ratio ASIAN EXPULSION ACTIONS vs average,ratio NATIVE HAWAIIAN/OTHER PACIFIC EXPULSION ACTIONS vs average,ratio TWO OR MORE RACES EXPULSION ACTIONS vs average
003904,HUNTINGTON ISD,07,1760,2.7,5.9,88.5,0.4,0.2,0,2.4,52,9.9,0,0,0,0,0,24,1,0,29,1,19,1,0,293,0,0,1,1,41,0,0,23,32,1,1,0,0,1,0,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,333,31,28,2.1132,0.0509,0.9942,0.7508,0,1,2.3774,1.1947,0,1.0570,0,0,1,1.3441,1.3228,0,0.9685,8.9286,0,1,1.4881,1,1,1,1,1,1,1
003905,DIBOLL ISD,07,1982,11.8,53.7,32.8,0.1,0.3,0,1.2,75.6,9.4,0,0,0,0,18,9,29,29,19,0,195,299,0,190,0,0,8,27,186,0,0,1,70,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,77,37,2.3915,0.8058,0.8383,0,0,1,0.8442,3.1917,0.7013,0.7523,0,0,1,0,2.2904,0.9059,0.7416,0,0,1,0,1,1,1,1,1,1,1
003906,ZAVALLA ISD,07,410,0.7,3.7,93.7,0.5,0,0,1.5,59,11.2,0,0,0,0,0,0,1,1,1,0,17,1,0,155,0,0,0,1,35,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,3,0,13.9573,0.1553,0.9507,0,1,1,0.3831,47.6190,9.0090,0.3557,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
003907,CENTRAL ISD,07,1592,6.7,18.3,73.3,0.3,0.1,0,1.3,53.6,9.9,0,0,0,1,1,25,19,1,55,0,112,1,0,457,0,0,1,18,82,0,0,26,67,8,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,571,76,35,2.9276,0.0096,1.0919,0,0,1,0.1347,3.7313,0.0719,0.9873,0,0,1,1.0121,3.4115,0.1561,0.9745,9.5238,0,1,0,0,0,1.3643,0,0,1,0
004901,ARANSAS COUNTY ISD,02,3212,1.2,41,53,0.4,2.4,0,2.1,55.6,8.7,0,0,1,1,80,100,6,148,170,1,46,575,0,798,0,0,32,82,140,0,1,140,268,1,1,0,1,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1451,326,182,2.6419,0.9665,1.0377,0.1723,0.0287,1,0.9845,1.5337,1.1073,0.9839,0,0.1278,1,0.1461,0.4579,1.0721,1.0367,0,0,1,0.2616,0,1.2195,0.9434,0,0,1,0
005901,ARCHER CITY ISD,09,487,0.4,8.8,84.8,0.6,0,0,5.3,38.6,11.1,0,0,0,0,1,1,0,1,1,0,0,12,0,50,0,0,1,5,17,0,0,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,2,2,0,1.9206,0.8305,0,1,1,2.3917,0,5.6818,0.5896,0,1,1,0,0,5.6818,0.5896,0,1,1,0,1,1,1,1,1,1,1
005902,HOLLIDAY ISD,09,892,0.3,8,89.3,0.8,0.1,0,1.5,27.2,10,0,0,0,0,0,5,0,0,0,0,5,11,0,106,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,5,13.6612,1.1270,0.9730,0,0,1,0,1,1,1,1,1,1,1,0,0,1.1198,0,0,1,0,1,1,1,1,1,1,1
005904,WINDTHORST ISD,09,461,0,29.5,69.2,1.1,0,0,0.2,40.3,7.6,0,0,0,0,0,0,0,0,0,0,0,21,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1,2.3729,0.4335,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
006902,CLAUDE ISD,16,369,2.2,11.7,82.9,0.5,0,0,2.7,40.7,12.2,0,0,1,0,1,0,0,1,1,0,0,1,0,32,0,0,0,1,13,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,34,2,2,0,0.2514,1.1353,0,1,1,1.0893,0,4.2735,0.6031,0,1,1,0,0,4.2735,0,0,1,1,18.5185,0,4.2735,0,0,1,1,18.5185
007901,CHARLOTTE ISD,20,534,0,84.1,15.2,0.2,0,0,0.6,71.3,9.2,1,0,1,0,1,1,0,1,0,1,0,192,0,1,1,1,1,1,30,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,194,1,2,1,1.1768,0.0339,2.5773,1,1,0,1,1.1891,0,0,1,1,0,1,0.5945,3.2895,0,1,1,0,1,1.1891,0,0,1,1,0
007902,JOURDANTON ISD,20,1552,0.7,58.8,38.9,0.3,0.2,0.1,1.1,56.1,8.2,0,1,0,1,33,8,0,1,1,1,1,373,0,169,0,0,6,5,63,1,1,35,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,550,2,41,0.2597,1.1534,0.7899,0.6061,4.5455,0,0.1653,0,0.8503,1.2853,0,0,0,0,0,1.3688,0.5016,0,0,0,0,0,0,2.5707,0,0,0,0
007904,LYTLE ISD,20,1762,0.7,79.9,18.4,0.4,0,0.2,0.3,71.5,6.6,0,0,0,0,1,1,1,1,1,1,1,383,0,85,0,0,14,17,108,0,0,41,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,3,2,0.3033,1.0177,0.9808,0.5308,1,0,0.7077,47.6190,0.4172,1.8116,0,1,0,0,0,0.6258,2.7174,0,1,0,0,1,1,1,1,1,1,1
007905,PLEASANTON ISD,20,3517,0.4,69.7,28.5,0.2,0.4,0,0.8,61.1,6.9,1,0,1,0,72,20,0,92,9,1,13,1504,0,391,0,0,13,7,212,1,1,75,88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1910,101,92,1.7016,1.1297,0.7183,0.2618,0,1,0.0654,0,1.3069,0.3127,0,0,1,0,0,1.1228,0.7628,0,0,1,0,0,1.4347,0,0,0,1,0
007906,POTEET ISD,20,1758,0.3,84.4,14.4,0.1,0.1,0.1,0.6,81.9,7.4,0,0,1,0,32,5,1,186,24,0,1,499,1,89,0,0,1,23,63,0,1,1,190,0,0,1,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,614,213,37,0.5429,0.9629,1.0066,0,0,1.6287,6.5147,1.5649,1.0346,0.7825,4.6948,0,0,0.7825,0,1.0247,0.9384,0,0,0,0,0,1.1848,0,0,0,0,0
008901,BELLVILLE ISD,06,2121,10.7,27.3,58.9,0.3,0.2,0,2.6,45.8,8,0,0,1,0,15,9,28,36,50,1,156,177,0,230,0,0,8,44,132,0,0,23,95,1,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,565,121,26,2.5804,1.1475,0.6911,0.5900,0,1,0.0681,2.1627,1.0898,0.7016,0,0,1,2.2250,0.3595,2.1133,0.5877,0,0,1,1.4793,0,3.6630,0,0,0,1,0
008902,SEALY ISD,06,2766,10,46.9,40.8,0.2,0.3,0.1,1.8,55.5,8,0,0,0,0,21,11,87,124,1,8,203,422,0,218,0,0,1,53,111,0,0,33,209,9,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863,213,41,2.3523,1.0426,0.6191,4.6350,0,0,0.7725,4.0845,1.2413,0.0115,0,0,0,0.2608,2.1951,1.0921,0.6576,0,0,0,0,1,1,1,1,1,1,1
008903,BRAZOS ISD,06,822,9.1,49.6,38.2,0,0.7,0,2.3,56.4,5.2,0,0,0,0,1,1,5,35,11,0,54,149,0,66,0,0,0,8,18,0,0,7,44,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,51,3,2.1500,1.0884,0.6260,1,0,1,1.1027,1.0774,1.3836,0.5646,1,0,1,0,3.6630,0.6720,0.8726,1,0,1,0,1,1,1,1,1,1,1
009901,MULESHOE ISD,17,1461,0.3,82,17,0,0.6,0,0.1,84.3,10.2,0,0,0,0,43,8,1,33,1,0,1,294,0,32,0,0,11,15,52,0,0,40,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,35,51,1.0163,1.0931,0.5739,1,0,1,3.0488,9.5238,1.1498,0.1681,1,0,1,0,0,1.0282,0.9227,1,0,1,0,1,1,1,1,1,1,1
010901,MEDINA ISD,20,270,1.5,26.3,69.6,0.4,0,0,2.2,55.9,10.7,0,0,0,0,0,1,0,1,1,0,1,1,0,46,0,0,0,1,10,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3,1,1.3605,0.0776,1.3488,0,1,1,0.9276,0,1.2674,0.4789,0,1,1,15.1515,0,0,1.4368,0,1,1,0,1,1,1,1,1,1,1
010902,BANDERA ISD,20,2369,0.5,30.6,66.2,0.6,0.5,0,1.5,51.1,9.7,0,0,0,0,1,31,0,1,76,1,1,194,0,336,0,0,6,34,65,0,0,31,86,0,1,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,78,33,0.3643,1.1548,0.9245,0.3036,0,1,2.0644,0,0.0419,1.4718,0,0,1,0.8547,0,0.0990,1.4190,0,0,1,2.0202,1,1,1,1,1,1,1
011901,BASTROP ISD,13,9546,5.4,57.9,33.1,0.5,0.6,0,2.6,68.4,10.8,0,0,1,1,196,86,86,392,210,1,366,2601,0,1053,0,1,64,206,799,0,1,259,611,1,1,1,0,1,1,87,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,4109,690,285,1.6495,1.0933,0.7742,0.0487,0.0406,1,0.8143,2.3081,0.9812,0.9195,0.2899,0,1,0.0557,0.0650,1.1878,0.9116,0.7018,0,1,0.1350,6.1728,0.5757,1.0070,0,0,1,0
011902,ELGIN ISD,13,4178,12.8,56.8,27.5,0.2,0.4,0,2.4,71.7,8.6,1,6,1,6,67,33,182,77,34,9,437,591,0,268,1,1,36,87,316,1,1,139,291,58,1,1,1,13,5,26,1,0,0,1,1,0,0,0,0,0,0,0,0,0,8,1336,308,160,2.5554,0.7788,0.7295,3.3683,0.9356,1,0.8109,4.6165,0.4401,0.4014,1.6234,0.8117,1,1.7587,2.8320,0.7372,0.7500,3.1250,0,1,0.2604,0.9766,0.2201,2.7273,0,0,1,0
011904,SMITHVILLE ISD,13,1799,7.8,26.7,61.1,0.5,0.4,0.1,3.3,58.3,8.9,0,0,1,1,23,29,29,48,95,0,113,251,0,432,0,1,14,51,135,0,7,53,140,1,1,0,0,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,798,178,54,1.8154,1.1780,0.8860,0,0.3133,0,0.0380,2.0887,1.0100,0.8735,0,0,0,1.0215,0.2374,1.5952,0.8789,0,0,0,0.5612,4.2735,1.2484,0.5456,0,0,0,0
011905,MCDADE ISD,13,210,0.5,53.8,45.2,0,0,0,0.5,74.3,6.7,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1.2122,0.7695,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
012901,SEYMOUR ISD,09,570,2.3,20,73.5,0.5,0.4,0,3.3,53.2,10.9,0,0,0,0,0,1,1,1,1,0,1,26,0,71,0,0,1,1,7,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,3,1,0.4392,1.3131,0.9757,0,0,1,0.3061,14.4928,1.6667,0.4535,0,0,1,0,0,0,1.3605,0,0,1,0,1,1,1,1,1,1,1
